Movie_name,Release_Date,tconst,nconst,Director_name,capped_profit,Successful,num_movies,Director_age
The Saint,1997,tt0120053,nm0637518,Phillip Noyce,11609286.614221303,4.7,79,47
Hornets' Nest,1970,tt0065850,nm0439597,Phil Karlson,0.0,4.4,72,62
When a Woman Ascends the Stairs,1960,tt0054144,nm0621540,Mikio Naruse,0.0,4.9,89,55
After the Wedding,2006,tt0457655,nm0081540,Susanne Bier,0.0,4.8,53,46
Priest,1994,tt0110889,nm0000944,Antonia Bird,0.0,4.7,76,43
Moby Dick,1956,tt0049513,nm0001379,John Huston,6096210.300429184,4.8,41,50
The Interpreter,2005,tt0373926,nm0001628,Sydney Pollack,11609286.614221303,4.7,66,71
Household Saints,1993,tt0107152,nm0001700,Nancy Savoca,0.0,4.6,17,34
The Aftermath,1982,tt0083526,nm0055020,Steve Barkett,-613306.1312607945,4.1,2,32
Streets of Fire,1984,tt0088194,nm0001353,Walter Hill,-33043552.86378951,4.0,32,42
Camille,1936,tt0028683,nm0002030,George Cukor,11609286.614221303,4.9,53,37
Successive Slidings of Pleasure,1974,tt0070116,nm0730237,Alain Robbe-Grillet,0.0,4.5,9,52
The Killer Is Loose,1956,tt0049405,nm0091430,Budd Boetticher,0.0,4.6,61,40
Love on the Run,1979,tt0078771,nm0000076,François Truffaut,0.0,4.7,25,47
Pontiac Moon,1994,tt0110867,nm0575389,Peter Medak,0.0,4.4,89,57
Cecilia,1982,tt0080508,nm0813695,Humberto Solás,0.0,4.4,22,41
The Artist,2011,tt1655442,nm0371890,Michel Hazanavicius,11609286.614221303,7.8,16,44
Poovinnu Puthiya Poonthennal,1986,tt0215067,nm0269778,Fazil,0.0,4.7,31,33
5 Fingers,1952,tt0044314,nm0000581,Joseph L. Mankiewicz,11609286.614221303,5.0,22,43
Revolver,2005,tt0365686,nm0005363,Guy Ritchie,-24564440.0626661,4.1,29,37
Do You Remember Dolly Bell?,1981,tt0083089,nm0001437,Emir Kusturica,0.0,4.8,45,27
Three Days of the Condor,1975,tt0073802,nm0001628,Sydney Pollack,11609286.614221303,5.0,66,41
Taxi Driver,1954,tt0047561,nm0025608,Chetan Anand,0.0,4.6,20,33
Flic Story,1975,tt0072996,nm0220227,Jacques Deray,0.0,4.6,33,46
Bonded by Blood,2010,tt1540400,nm1204790,Sacha Bennett,0.0,4.3,33,39
Sade,2000,tt0217019,nm0415245,Benoît Jacquot,0.0,4.5,55,53
The Ward,2010,tt1369706,nm0000118,John Carpenter,-10856693.211896358,4.1,32,62
The Harder They Fall,1956,tt0049291,nm0733476,Mark Robson,11609286.614221303,5.0,32,43
Dreamscape,1984,tt0087175,nm0747849,Joseph Ruben,11609286.614221303,4.7,18,34
The Rescuers Down Under,1990,tt0100477,nm0125186,Hendel Butoy,11609286.614221303,4.8,2,32
Read my Lips,2001,tt0274117,nm0002191,Jacques Audiard,2139182.228915662,4.8,15,49
The Limits of Control,2009,tt1135092,nm0000464,Jim Jarmusch,1539380.4079715852,4.5,21,56
Bride of Chucky,1998,tt0144120,nm0950553,Ronny Yu,11609286.614221303,4.6,21,48
Cousin Bette,1998,tt0118894,nm0005197,Des McAnuff,1686205.841491744,4.5,6,46
Snatch,2000,tt0208092,nm0005363,Guy Ritchie,11609286.614221303,5.1,29,32
The Unsaid,2001,tt0258967,nm0572951,Tom McLoughlin,0.0,4.6,50,51
My Own Love Song,2010,tt1193507,nm0196860,Olivier Dahan,0.0,4.4,17,43
Seed of Chucky,2004,tt0387575,nm0238841,Don Mancini,11609286.614221303,4.4,7,41
Billion Dollar Brain,1967,tt0061405,nm0001692,Ken Russell,0.0,4.4,97,40
Suspense,1946,tt0039000,nm0878338,Frank Tuttle,0.0,4.5,74,54
The Hunger,1983,tt0085701,nm0001716,Tony Scott,11609286.614221303,4.8,27,39
My Soul to Take,2010,tt0872230,nm0000127,Wes Craven,-4368296.909399976,4.1,33,71
Love Affair,1932,tt0023153,nm0293260,Thornton Freeland,0.0,4.4,25,34
Lone Star,1996,tt0116905,nm0000626,John Sayles,-7546578.47200085,4.6,19,46
Black Water Transit,2009,tt0490087,nm0443411,Tony Kaye,0.0,4.6,31,57
Children of Men,2006,tt0206634,nm0190859,Alfonso Cuarón,-7093276.312540201,4.7,31,45
Funny Bones,1995,tt0113133,nm0155093,Peter Chelsom,826908.5811615443,4.6,13,39
The Scoundrel's Wife,2002,tt0282945,nm0685789,Glen Pitre,0.0,4.4,6,47
The Slender Thread,1965,tt0059729,nm0001628,Sydney Pollack,0.0,4.7,66,31
Max and the Junkmen,1971,tt0067409,nm0767110,Claude Sautet,0.0,4.7,15,47
Don't Move,2004,tt0330702,nm0144812,Sergio Castellitto,0.0,4.7,8,51
The Ghost Writer,2010,tt1139328,nm0000591,Roman Polanski,-31982136.500468142,4.1,36,77
Mozart's Sister,2010,tt1653911,nm0299677,René Féret,464557.9025370451,4.5,20,65
Diamond Jim,1935,tt0026277,nm0840042,A. Edward Sutherland,0.0,4.6,93,40
The Circus,1928,tt0018773,nm0000122,Charles Chaplin,-124174385.62408936,2.7,72,39
Copying Beethoven,2006,tt0424908,nm0002140,Agnieszka Holland,-12917685.916249843,4.4,82,58
Malevolence,2004,tt0389139,nm1530005,Nick Groff,153267.9199497044,4.1,59,24
Lolita,1997,tt0119558,nm0001490,Adrian Lyne,-89747193.53553317,3.0,11,56
The Fifth Element,1997,tt0119116,nm0000108,Luc Besson,11609286.614221303,5.0,27,38
Bad Lieutenant: Port of Call New Orleans,2009,tt1095217,nm0001348,Werner Herzog,-16078233.20214617,4.3,86,67
Torn Curtain,1966,tt0061107,nm0000033,Alfred Hitchcock,11609286.614221303,4.8,81,67
Thank You,2011,tt1720254,nm0063357,Anees Bazmee,-13787033.309005767,3.9,20,49
TerrorVision,1986,tt0092074,nm0138609,Ted Nicolaou,0.0,4.3,41,37
The Red Baron,2008,tt0365675,nm0618391,Nikolai Müllerschön,-19791925.31438325,4.2,78,50
The Brazen Bull,2010,tt1415284,nm1458461,Douglas Elford-Argent,-1085669.3211896357,3.9,76,34
The Lost World,1925,tt0016039,nm0398464,Harry O. Hoyt,0.0,4.7,28,40
Two Moon Junction,1988,tt0096324,nm0455394,Zalman King,3097666.1328292587,4.3,77,46
Virgin,2003,tt0368411,nm1380487,Deborah Kampmeier,0.0,4.3,28,39
Shadow Man,2006,tt2071575,nm1953657,Nathan Kitada,0.0,4.7,5,23
Kochu Kochu Santhoshangal,2000,tt0273313,nm0030791,Sathyan Anthikad,0.0,4.6,57,45
Confessions,2010,tt1590089,nm0620363,Tetsuya Nakashima,11609286.614221303,5.0,11,51
The Grissom Gang,1971,tt0067162,nm0000736,Robert Aldrich,0.0,4.6,54,53
Gaayam,1993,tt0262430,nm0890060,Ram Gopal Varma,0.0,4.8,79,31
The Girl in the Red Velvet Swing,1955,tt0048119,nm0281507,Richard Fleischer,11494192.966075318,4.7,61,39
Life of Pi,2012,tt0454876,nm0000487,Ang Lee,-123732982.1819466,5.2,24,58
Come Play with Me,1968,tt0063033,nm0760072,Salvatore Samperi,0.0,4.4,22,25
Shark in Venice,2008,tt1087474,nm0503600,Danny Lerner,0.0,3.7,9,56
Amelia,2009,tt1129445,nm0619762,Mira Nair,-22464525.016336728,4.0,30,52
Killing Car,1993,tt0106894,nm0210811,Jean Rollin,0.0,4.0,47,55
Born to Win,1971,tt0066856,nm0664852,Ivan Passer,0.0,4.4,16,38
The Safety of Objects,2001,tt0256359,nm0873266,Rose Troche,0.0,4.6,55,37
Mirrors,2008,tt0790686,nm0014960,Alexandre Aja,11609286.614221303,4.7,18,30
Before the Fall,2004,tt0384369,nm0304541,Dennis Gansel,-922188.1590726196,4.7,22,31
Act of Violence,1948,tt0041088,nm0003593,Fred Zinnemann,-12702515.979202772,4.5,44,41
The Rapture,1991,tt0102757,nm0866062,Michael Tolkin,86918.08266658509,4.5,8,41
Raja Babu,1994,tt0110942,nm0223522,David Dhawan,0.0,4.5,46,39
Downloading Nancy,2008,tt0411323,nm0719307,Johan Renck,-3276388.303085194,4.3,48,42
Feed,2005,tt0445965,nm0502577,Brett Leonard,0.0,4.3,25,46
Heavenly Creatures,1994,tt0110005,nm0001392,Peter Jackson,-7985703.041547198,4.6,32,33
To the Starry Island,1993,tt0107005,nm0477121,Park Kwang-su,0.0,4.7,7,38
The Visitors,1972,tt0069466,nm0001415,Elia Kazan,0.0,4.5,20,63
Nazrana,1961,tt0055220,nm0820232,C.V. Sridhar,0.0,4.7,59,28
The Mystic,1925,tt0016142,nm0115218,Tod Browning,0.0,4.5,62,45
Violent Summer,1959,tt0052786,nm0958801,Valerio Zurlini,0.0,4.7,20,33
Personal Affair,1953,tt0046181,nm0670874,Anthony Pelissier,0.0,4.6,10,41
Animal Farm,1954,tt0047834,nm0060742,Joy Batchelor,0.0,4.7,31,40
Aashirwad,1968,tt0147855,nm0611531,Hrishikesh Mukherjee,0.0,4.8,46,46
Tokyo Twilight,1957,tt0051093,nm0654868,Yasujirô Ozu,0.0,4.9,54,54
Love Stories,1997,tt0123889,nm0836136,Jerzy Stuhr,0.0,4.7,14,50
Matru Ki Bijlee Ka Mandola,2013,tt2106537,nm0080235,Vishal Bhardwaj,-6605444.493531534,4.2,17,48
Shake Hands with the Devil,1959,tt0053272,nm0027183,Michael Anderson,0.0,4.7,45,39
Mississippi Mermaid,1969,tt0064990,nm0000076,François Truffaut,0.0,4.6,25,37
Shortbus,2006,tt0367027,nm0593463,John Cameron Mitchell,4031552.232042495,4.6,7,43
Normal Life,1996,tt0117202,nm0573796,John McNaughton,0.0,4.5,31,46
Ash Wednesday,2002,tt0280438,nm0122653,Edward Burns,0.0,4.4,38,34
The Next Karate Kid,1994,tt0110657,nm0128883,Christopher Cain,6112231.553750492,4.2,28,51
The Terminator,1984,tt0088247,nm0000116,James Cameron,11609286.614221303,5.1,24,30
X-Men: The Last Stand,2006,tt0376994,nm0711840,Brett Ratner,11609286.614221303,4.8,24,37
Five Corners,1987,tt0093029,nm0082300,Tony Bill,0.0,4.5,33,47
Double Harness,1933,tt0023960,nm0188669,John Cromwell,9024040.992268045,4.8,47,47
Hell Is a City,1960,tt0053900,nm0346436,Val Guest,0.0,4.7,79,49
Restoration,1995,tt0114272,nm0001355,Michael Hoffman,-23294122.610306244,5.0,20,39
The Serpent's Kiss,1997,tt0120100,nm0003542,Philippe Rousselot,0.0,4.4,3,52
Just Before Nightfall,1971,tt0073221,nm0001031,Claude Chabrol,0.0,4.7,86,41
The Broken Hearts Club: A Romantic Comedy,2000,tt0222850,nm0075528,Greg Berlanti,1401061.5499970962,4.7,11,28
The Making of Plus One,2010,tt1251756,nm0570082,Mary McGuckian,0.0,4.4,12,45
The People vs. Larry Flynt,1996,tt0117318,nm0001232,Milos Forman,-23695675.315540325,4.3,19,64
Primal Fear,1996,tt0117381,nm0387706,Gregory Hoblit,11609286.614221303,5.0,47,52
Mesmer,1994,tt0110496,nm0006854,Roger Spottiswoode,0.0,4.4,37,49
The Rules of the Game,1939,tt0031885,nm0719756,Jean Renoir,-150597989.0310965,2.2,35,45
Unleashed,2005,tt0342258,nm0504642,Louis Leterrier,7117071.65702667,4.8,47,32
The 400 Blows,1959,tt0053198,nm0000076,François Truffaut,0.0,4.9,25,27
Rad,1986,tt0091817,nm0624102,Hal Needham,4353977.134941078,4.7,20,55
Naked Tango,1990,tt0100222,nm0775055,Leonard Schrader,0.0,4.4,1,47
Red Zone Cuba,1966,tt0060753,nm0290118,Coleman Francis,0.0,3.5,3,47
The Spider's Stratagem,1970,tt0066413,nm0000934,Bernardo Bertolucci,0.0,4.6,26,29
Loving Annabelle,2006,tt0323120,nm0112085,Katherine Brooks,3875305.7748749536,4.6,46,30
Souls for Sale,1923,tt0014497,nm0400912,Rupert Hughes,0.0,4.7,7,51
Michael Collins,1996,tt0117039,nm0001403,Neil Jordan,-25518666.053444903,4.2,29,46
The Big Picture,1989,tt0096926,nm0001302,Christopher Guest,-9324947.850228556,4.3,28,41
The Nest,2002,tt0280990,nm0802807,Florent-Emilio Siri,0.0,4.6,17,37
Highball,1997,tt0119291,nm0000876,Noah Baumbach,0.0,4.4,15,28
Baby It's You,1983,tt0085208,nm0000626,John Sayles,-2691110.2589290496,4.5,19,33
Lie with Me,2005,tt0418832,nm0899364,Clement Virgo,-2666880.648602518,4.2,79,39
Central Station,1998,tt0140888,nm0758574,Walter Salles,-4211655.130105823,4.8,29,42
Moulin Rouge,1952,tt0044926,nm0001379,John Huston,-13374924.670433143,5.9,41,46
Wings of Desire,1987,tt0093191,nm0000694,Wim Wenders,-5208716.5383204995,4.8,65,42
Undertow,2004,tt0360130,nm0337773,David Gordon Green,179976.72279978823,4.6,72,29
Bastard Out of Carolina,1996,tt0115633,nm0001378,Anjelica Huston,0.0,4.7,5,45
Valkyrie,2008,tt0985699,nm0001741,Bryan Singer,11609286.614221303,4.9,17,43
Final Analysis,1992,tt0104265,nm0423333,Phil Joanou,11609286.614221303,4.6,18,31
The Golden Lady,1979,tt0079224,nm0488574,José Ramón Larraz,0.0,4.1,34,50
Noi the Albino,2003,tt0351461,nm0477597,Dagur Kári,1695018.513290147,4.8,14,30
The Secrets of Jonathan Sperry,2008,tt1070858,nm0160126,Rich Christiano,290583.94791436853,4.6,9,52
Omkara,2006,tt0488414,nm0080235,Vishal Bhardwaj,0.0,4.9,17,41
Confession,1937,tt0028737,nm0562004,Joe May,0.0,4.7,70,57
The Three Weird Sisters,1948,tt0040877,nm0083783,Daniel Birt,0.0,4.5,17,41
North,1994,tt0110687,nm0001661,Rob Reiner,-63885624.33237758,3.0,29,47
Then She Found Me,2007,tt0455805,nm0000166,Helen Hunt,9296515.42824611,4.6,23,44
Runaway Train,1985,tt0089941,nm0464846,Andrey Konchalovskiy,-2200832.042144406,4.7,34,48
Glengarry Glen Ross,1992,tt0104348,nm0001226,James Foley,-2994317.9949210123,4.8,37,39
Requiem of Snow,2005,tt0450488,nm1847732,Jamil Rostami,0.0,4.6,3,34
2:37,2006,tt0472582,nm1994122,Murali K. Thalluri,-998184.8208011244,4.6,2,22
Changing Lanes,2002,tt0264472,nm0585011,Roger Michell,11609286.614221303,4.8,34,46
Brannigan,1975,tt0072732,nm0382779,Douglas Hickox,0.0,4.5,32,46
Samaantar,2009,tt1560171,nm0657505,Amol Palekar,0.0,4.7,19,65
Maclovia,1948,tt0040560,nm0273477,Emilio Fernández,0.0,4.7,41,44
The Tit and the Moon,1994,tt0111403,nm0000940,Bigas Luna,0.0,4.5,22,48
Passion of Mind,2000,tt0160644,nm0075626,Alain Berliner,1057575.5191869915,4.4,23,37
Jalsa,2008,tt1191121,nm1894520,Trivikram Srinivas,0.0,4.7,16,37
La vida en un hilo,1945,tt0038219,nm0627438,Edgar Neville,0.0,4.8,28,46
Wild Boy,1934,tt0025990,nm0184005,Albert de Courville,0.0,4.4,20,47
The Mummy Returns,2001,tt0209163,nm0814085,Stephen Sommers,11609286.614221303,4.7,11,39
Identity Unknown,1945,tt0037811,nm0172935,Walter Colmes,0.0,4.5,9,28
A Serious Man,2009,tt1019452,nm0001053,Ethan Coen,11609286.614221303,4.9,17,52
Stargate,1994,tt0111282,nm0000386,Roland Emmerich,11609286.614221303,4.9,26,39
The Real Blonde,1997,tt0119987,nm0001139,Tom DiCillo,0.0,4.5,27,44
Lady for a Day,1933,tt0024240,nm0001008,Frank Capra,0.0,4.7,54,36
Eddie and the Cruisers,1983,tt0085475,nm0203429,Martin Davidson,11171284.973226238,4.8,27,44
Steam: The Turkish Bath,1997,tt0119248,nm0654858,Ferzan Özpetek,0.0,4.6,21,38
St. Ives,1998,tt0144622,nm0393591,Harry Hook,0.0,4.6,22,38
The Barbarian Invasions,2003,tt0338135,nm0000780,Denys Arcand,-10295208.154020384,5.1,38,62
New Delhi,1987,tt0246809,nm0430782,Joshiy,0.0,4.8,84,35
"Sorry, Thanks",2009,tt1162125,nm1160375,Dia Sokol Savage,0.0,4.1,3,33
Lord of the Flies,1990,tt0100054,nm0393591,Harry Hook,11609286.614221303,4.7,22,30
The Running Man,1987,tt0093894,nm0001274,Paul Michael Glaser,11609286.614221303,4.8,37,44
Boston Blackie Goes Hollywood,1942,tt0034545,nm0330456,Michael Gordon,0.0,4.5,30,33
Hanna's War,1988,tt0095275,nm0324875,Menahem Golan,279851.4761919527,4.5,45,59
How I Killed My Father,2001,tt0268219,nm0284774,Anne Fontaine,0.0,4.6,21,42
Go Go 70s,2008,tt1205556,nm1184629,Ho Choi,0.0,4.6,5,41
Tactical Force,2011,tt1458915,nm2149571,Adamo P. Cultraro,-8840540.442415912,4.0,4,38
The Set-Up,1949,tt0041859,nm0936404,Robert Wise,0.0,4.8,39,35
Betrayed,1988,tt0094731,nm0002020,Costa-Gavras,11609286.614221303,4.7,22,55
Night Train,1959,tt0053176,nm0442819,Jerzy Kawalerowicz,0.0,4.8,17,37
Dangerous Game,1993,tt0106660,nm0001206,Abel Ferrara,-16349059.485656762,4.1,43,42
Feast of Love,2007,tt0800027,nm0000914,Robert Benton,6555562.968130416,4.7,12,75
Rudaali,1993,tt0108001,nm0493923,Kalpana Lajmi,0.0,4.7,11,39
A Petal,1996,tt0114119,nm0417541,Jang Sun-woo,0.0,4.7,10,44
Cry of the City,1948,tt0040257,nm0802563,Robert Siodmak,0.0,4.7,61,48
Mercury Rising,1998,tt0120749,nm0000887,Harold Becker,11609286.614221303,4.7,18,70
Brigham Young,1940,tt0032281,nm0368871,Henry Hathaway,0.0,4.5,64,42
A Little Life-Opera,1997,tt0120542,nm0284535,Allen Fong,0.0,4.6,6,50
Guns,1990,tt0099720,nm0796477,Andy Sidaris,0.0,4.1,21,59
Revathikkoru Pavakkutty,1986,tt0292209,nm0030791,Sathyan Anthikad,0.0,4.7,57,31
Garuda di Dadaku,2009,tt1445022,nm2856917,Ifa Isfansyah,0.0,4.6,22,30
Face,1997,tt0119092,nm0000944,Antonia Bird,0.0,4.6,76,46
Tales from the Crypt,1972,tt0069341,nm0005711,Freddie Francis,0.0,4.6,50,55
Towelhead,2007,tt0787523,nm0050332,Alan Ball,771446.7421274552,4.7,15,50
Arangetra Velai,1990,tt0214486,nm0269778,Fazil,0.0,4.7,31,37
Moonlight Mile,2002,tt0179098,nm0797869,Brad Silberling,-14462720.771044709,4.3,55,39
Secret Agent,1936,tt0028231,nm0000033,Alfred Hitchcock,0.0,4.5,81,37
'R Xmas,2001,tt0217978,nm0001206,Abel Ferrara,0.0,4.4,43,50
Coquette,1929,tt0019788,nm0853130,Sam Taylor,0.0,4.3,16,34
City Without Baseball,2008,tt1198059,nm0013828,Lawrence Ah-Mon,0.0,4.3,22,59
Dark City,1998,tt0118929,nm0001639,Alex Proyas,290917.89966975106,4.8,22,35
Last Dance,1996,tt0116827,nm0000915,Bruce Beresford,8964503.591789395,4.5,59,56
Circus World,1964,tt0057952,nm0368871,Henry Hathaway,0.0,4.5,64,66
Beyond the Clouds,1995,tt0114086,nm0000774,Michelangelo Antonioni,0.0,4.5,34,83
Pehla Nasha,1993,tt0172980,nm0332950,Ashutosh Gowariker,0.0,4.2,13,29
Among the Living,1941,tt0033337,nm0374702,Stuart Heisler,0.0,4.5,94,45
Walking Tall,1973,tt0070895,nm0439597,Phil Karlson,11609286.614221303,4.8,72,65
High Hopes,1988,tt0095302,nm0005139,Mike Leigh,0.0,4.7,35,45
Carlito's Way,1993,tt0106519,nm0000361,Brian De Palma,11609286.614221303,5.1,39,53
Cube,1997,tt0123755,nm0622112,Vincenzo Natali,509891.5046817568,4.7,44,28
Diary of a Chambermaid,1964,tt0058249,nm0000320,Luis Buñuel,0.0,4.7,35,64
Margin for Error,1943,tt0036142,nm0695937,Otto Preminger,0.0,4.4,40,38
The Magnificent Ambersons,1942,tt0035015,nm0000080,Orson Welles,0.0,4.8,69,27
Bruiser,2000,tt0212830,nm0001681,George A. Romero,-6873872.435152923,4.2,29,60
West of Shanghai,1937,tt0029754,nm0268513,John Farrow,0.0,4.4,49,33
A Cage of Nightingales,1945,tt0039234,nm0238810,Jean Dréville,0.0,4.6,52,39
Paper Moon,1973,tt0070510,nm0000953,Peter Bogdanovich,11609286.614221303,5.9,34,34
Lili Marleen,1981,tt0082661,nm0001202,Rainer Werner Fassbinder,0.0,4.7,64,36
The Little Minister,1934,tt0025409,nm0908831,Richard Wallace,11609286.614221303,4.7,60,40
10 Promises to My Dog,2008,tt1179271,nm1217362,Katsuhide Motoki,11609286.614221303,4.8,39,45
Enemy of the State,1998,tt0120660,nm0001716,Tony Scott,-130706538.52052554,2.4,27,54
"Encore, Once More Encore!",1992,tt0103698,nm0865421,Pyotr Todorovskiy,0.0,4.6,16,67
The Idiots,1998,tt0154421,nm0001885,Lars von Trier,-3630737.18112571,4.6,38,42
Amistad,1997,tt0118607,nm0000229,Steven Spielberg,11609286.614221303,4.9,60,51
Keeping the Faith,2000,tt0171433,nm0001570,Edward Norton,11609286.614221303,4.7,2,31
Under Ten Flags,1960,tt0054328,nm0171385,Duilio Coletti,0.0,4.6,27,54
Hobson's Choice,1954,tt0047094,nm0000180,David Lean,0.0,4.8,16,46
Interiors,1978,tt0077742,nm0000095,Woody Allen,1569085.3771640267,4.8,61,43
Pastor Hall,1940,tt0032894,nm0099592,Roy Boulting,0.0,4.7,26,27
"Hawaii, Oslo",2004,tt0427339,nm0691547,Erik Poppe,0.0,4.7,16,44
The Blue Hour,2007,tt0899137,nm0623357,Eric Nazarian,0.0,4.6,7,31
Twenty:20,2008,tt1138482,nm0430782,Joshiy,0.0,4.6,84,56
Aadmi,1968,tt0062640,nm0080406,A. Bhimsingh,0.0,4.6,63,44
Almost Angels,1962,tt0055740,nm0696662,Steve Previn,0.0,4.5,83,37
Unbreakable,2000,tt0217869,nm0796117,M. Night Shyamalan,11609286.614221303,4.9,24,30
Dol,2007,tt0855783,nm0757954,Hiner Saleem,0.0,4.4,13,42
Roosters,1993,tt0107987,nm0950001,Robert M. Young,244046.24081107584,4.5,32,69
Sinners,2007,tt0988046,nm0160636,Tory Christopher,0.0,4.9,2,46
The Big Heat,1953,tt0045555,nm0000485,Fritz Lang,11055549.501867997,5.0,45,63
Tattooed Flower Vase,1976,tt0286749,nm0465451,Masaru Konuma,0.0,4.5,55,39
Rocco and His Brothers,1960,tt0054248,nm0899581,Luchino Visconti,0.0,4.9,17,54
Kids,1995,tt0113540,nm0164187,Larry Clark,11609286.614221303,4.9,14,52
Elling,2001,tt0279064,nm0639033,Petter Næss,0.0,4.8,25,41
Body and Soul,1947,tt0039204,nm0744035,Robert Rossen,0.0,5.5,10,39
Call Northside 777,1948,tt0040202,nm0368871,Henry Hathaway,0.0,4.7,64,50
The War Zone,1999,tt0141974,nm0000619,Tim Roth,0.0,4.7,2,38
Yaraana,1995,tt0115009,nm0223522,David Dhawan,0.0,4.1,46,40
Street Law,1974,tt0071330,nm0144758,Enzo G. Castellari,0.0,4.6,50,36
The Girl Who Played with Fire,2009,tt1216487,nm0019242,Daniel Alfredson,11609286.614221303,4.9,39,50
Eastern Plays,2009,tt1426361,nm1189816,Kamen Kalev,0.0,4.7,7,34
My Sassy Girl,2008,tt0404254,nm1077168,Yann Samuell,0.0,4.5,15,43
In Time,2011,tt1637688,nm0629272,Andrew Niccol,11609286.614221303,4.8,12,47
Valley of the Dolls,1967,tt0062430,nm0733476,Mark Robson,11609286.614221303,4.6,32,54
Stonewall,1995,tt0114550,nm0277439,Nigel Finch,0.0,4.7,30,46
Kippur,2000,tt0218379,nm0321159,Amos Gitai,157113.3527013163,4.5,63,50
First Daughter,2004,tt0361620,nm0001845,Forest Whitaker,-24565581.222977147,3.8,7,43
What's Cooking?,2000,tt0197096,nm0149446,Gurinder Chadha,2267903.6064024386,4.7,26,40
Joan of Arc,1948,tt0040491,nm0281808,Victor Fleming,11609286.614221303,6.2,46,59
22 June 1897,1979,tt0078724,nm0666676,Nachiket Patwardhan,0.0,4.9,2,31
To Be Twenty in the Aures,1972,tt0163537,nm0891320,René Vautier,0.0,4.6,54,44
The Hiding Place,1975,tt0073109,nm0171917,James F. Collier,0.0,4.7,12,46
Zigeunerweisen,1980,tt0081662,nm0840671,Seijun Suzuki,0.0,4.7,56,57
Shanghai,2010,tt1092634,nm0405632,Mikael Håfström,-44295888.05195466,3.8,33,50
Pappu Can't Dance Saala,2010,tt1772332,nm0795661,Saurabh Shukla,0.0,4.6,11,47
Pari,1995,tt0114092,nm0576529,Dariush Mehrjui,0.0,4.6,32,56
Teenage Wasteland,2006,tt0776807,nm2096009,Andrew Jones,0.0,4.5,29,23
Hollow Reed,1996,tt0113314,nm0691078,Angela Pope,0.0,4.7,19,51
Annamalai,1992,tt0139859,nm0471452,Suresh Krishna,6748625.727521084,4.9,53,33
The Wooden Horse,1950,tt0043147,nm0497442,Jack Lee,0.0,4.6,15,37
Pool of London,1951,tt0042851,nm0213136,Basil Dearden,0.0,4.7,52,40
Catwoman,2004,tt0327554,nm0685759,Pitof,-22431911.34558987,3.5,11,47
Paranoid,2000,tt0197750,nm0241090,John Duigan,-5499097.948122337,3.9,35,51
Three Colors: White,1994,tt0111507,nm0001425,Krzysztof Kieslowski,2339212.063445213,4.8,53,53
The Children of Huang Shi,2008,tt0889588,nm0006854,Roger Spottiswoode,-35424830.42077232,4.0,37,63
Lilith,1964,tt0058294,nm0744035,Robert Rossen,0.0,4.6,10,56
One Evening After the War,1998,tt0157134,nm0659454,Rithy Panh,0.0,4.6,24,34
The Pleasure Girls,1965,tt0059607,nm0110133,Gerry O'Hara,0.0,4.4,26,41
Dominick and Eugene,1988,tt0095050,nm0950001,Robert M. Young,6157771.439541964,4.8,32,64
Villain,2002,tt0417241,nm0433893,K.S. Ravikumar,0.0,4.7,43,44
Time of Favor,2000,tt0268696,nm0147737,Joseph Cedar,0.0,4.6,9,32
L'étoile du nord,1982,tt0084962,nm0335133,Pierre Granier-Deferre,0.0,4.6,33,55
The Sandpiper,1965,tt0059674,nm0591486,Vincente Minnelli,0.0,4.9,30,62
Psycho,1998,tt0155975,nm0001814,Gus Van Sant,-33197819.691007618,3.6,38,46
Girl with a Pearl Earring,2003,tt0335119,nm0916424,Peter Webber,11609286.614221303,4.8,43,43
Mughal-e-Azam,1960,tt0054098,nm0039339,K. Asif,0.0,4.9,3,38
Mr. Saturday Night,1992,tt0104928,nm0000345,Billy Crystal,-50021898.733971976,3.5,7,44
Cheerful Weather for the Wedding,2012,tt1159922,nm1852103,Donald Rice,0.0,4.4,3,35
The Boxer,1997,tt0118760,nm0006487,Jim Sheridan,11609286.614221303,4.9,27,48
Broken City,2013,tt1235522,nm0400441,Allen Hughes,-56908444.86734861,3.5,18,41
The Enigma of Kaspar Hauser,1974,tt0071691,nm0001348,Werner Herzog,0.0,4.8,86,32
Pickpocket,1959,tt0053168,nm0000975,Robert Bresson,0.0,4.8,14,58
Khartoum,1966,tt0060588,nm0213136,Basil Dearden,-43761242.618741974,3.8,52,55
Babylon A.D.,2008,tt0364970,nm0440913,Mathieu Kassovitz,2315314.40084687,4.4,14,41
Death Before Dishonor,1987,tt0092854,nm0502777,Terry Leonard,9472038.524016136,4.4,1,46
With Fire and Sword,1999,tt0128378,nm0388956,Jerzy Hoffman,0.0,4.7,41,67
"Me, Natalie",1969,tt0064651,nm0168641,Fred Coe,0.0,4.5,66,55
Norwood,1970,tt0066162,nm0355074,Jack Haley Jr.,0.0,4.3,69,37
Law and Disorder,1974,tt0071743,nm0664852,Ivan Passer,0.0,4.5,16,41
Gypo,2005,tt0443526,nm1152175,Jan Dunn,0.0,4.6,7,42
Possession,1981,tt0082933,nm0958558,Andrzej Zulawski,2899254.523592705,4.8,18,41
The Rich Man's Wife,1996,tt0117473,nm0427468,Amy Holden Jones,11609286.614221303,4.5,4,43
