Movie_name,Top_genres,Release_Date,tconst,nconst,Director_name,Successful,director_name,num_movies,birth_year,death_year,Director_age
To Hare Is Human,Other,1956,tt0049858,nm0005062,Chuck Jones,4.8,Chuck Jones,324.0,1912,2002,44
Jet Pink,Other,1967,tt0061840,nm0157908,Gerry Chiniquy,4.4,Gerry Chiniquy,183.0,1912,1989,55
Stranger on the Third Floor,Drama,1940,tt0033107,nm0409069,Boris Ingster,4.6,Boris Ingster,3.0,1903,1978,37
A Problem with Fear,Drama,2003,tt0347817,nm0122672,Gary Burns,4.3,Gary Burns,9.0,1960,0,43
Cat Napping,Other,1951,tt0043387,nm0053484,Joseph Barbera,4.7,Joseph Barbera,1856.0,1911,2006,40
The Ape Man,Fiction,1943,tt0035640,nm0064415,William Beaudine,4.1,William Beaudine,569.0,1892,1970,51
Darling Companion,Other,2012,tt1730687,nm0001410,Lawrence Kasdan,4.3,Lawrence Kasdan,20.0,1949,0,63
Chinthamani Kolacase,Other,2006,tt0882759,nm0435050,Shaji Kailas,4.6,Shaji Kailas,49.0,1965,0,41
Pay It Forward,Drama,2000,tt0223897,nm0001460,Mimi Leder,4.9,Mimi Leder,115.0,1952,0,48
It Could Happen to You,Drama,1994,tt0110167,nm0000921,Andrew Bergman,4.7,Andrew Bergman,7.0,1945,0,49
The Descent,Drama,2005,tt0435625,nm0551076,Neil Marshall,4.9,Neil Marshall,28.0,1970,0,35
Why Has Bodhi-Dharma Left for the East?,Drama,1989,tt0097195,nm0046282,Yong-Kyun Bae,4.7,Yong-Kyun Bae,2.0,1951,0,38
Jack's Back,Drama,1988,tt0095389,nm0380705,Rowdy Herrington,4.4,Rowdy Herrington,19.0,1951,0,37
The Ghost Ship,Horror,1943,tt0035937,nm0733476,Mark Robson,4.6,Mark Robson,32.0,1913,1978,30
The Fixer,Other,1968,tt0062977,nm0001239,John Frankenheimer,4.6,John Frankenheimer,113.0,1930,2002,38
Abbott and Costello Meet the Keystone Kops,Family,1955,tt0047794,nm0006943,Charles Lamont,4.5,Charles Lamont,305.0,1895,1993,60
Parijatham,Family,2006,tt1365496,nm0080180,Bhagyaraj,4.5,Bhagyaraj,29.0,1953,0,53
Bingo,Other,1998,tt0193771,nm0484996,Chris Landreth,4.5,Chris Landreth,5.0,1961,0,37
Love and War,Other,2006,tt0889200,nm1122260,Fredrik Emilson,4.7,Fredrik Emilson,2.0,1971,0,35
Sollathan Ninaikiren,Other,1973,tt0155191,nm0049335,K. Balachander,4.7,K. Balachander,372.0,1930,2014,43
Madadayo,Drama,1993,tt0107474,nm0000041,Akira Kurosawa,4.7,Akira Kurosawa,32.0,1910,1998,83
Knight Moves,Drama,1992,tt0104627,nm0770918,Carl Schenkel,4.7,Carl Schenkel,23.0,1948,2003,44
Cry of Battle,Drama,1963,tt0056967,nm0503615,Irving Lerner,4.4,Irving Lerner,33.0,1909,1976,54
Second Childhood,Other,1936,tt0228828,nm0576940,Gus Meins,4.8,Gus Meins,140.0,1893,1940,43
Kansas City Bomber,Drama,1972,tt0068795,nm0293197,Jerrold Freedman,4.3,Jerrold Freedman,34.0,1941,0,31
The Professional,Drama,2003,tt0339535,nm0468169,Dusan Kovacevic,5.0,Dusan Kovacevic,3.0,1948,0,55
Agnosia,Drama,2010,tt1519245,nm1079001,Eugenio Mira,4.3,Eugenio Mira,12.0,1977,0,33
The Breed,Horror,2006,tt0455362,nm0557608,Nicholas Mastandrea,4.2,Nicholas Mastandrea,1.0,1955,0,51
Aradhana,Drama,1962,tt0055757,nm0710615,V. Madhusudan Rao,4.5,V. Madhusudan Rao,74.0,1917,2012,45
A Man Alone,Other,1955,tt0048336,nm0001537,Ray Milland,4.5,Ray Milland,17.0,1907,1986,48
The Easiest Way,Drama,1931,tt0021825,nm0176699,Jack Conway,4.5,Jack Conway,103.0,1887,1952,44
Cool as Ice,Action/Adventure,1991,tt0101615,nm0446109,David Kellogg,3.6,David Kellogg,103.0,1952,0,39
Coming Home,Drama,1978,tt0077362,nm0000797,Hal Ashby,6.8,Hal Ashby,17.0,1929,1988,49
Casper,Horror,1995,tt0112642,nm0797869,Brad Silberling,4.7,Brad Silberling,55.0,1963,0,32
Road to Nhill,Drama,1997,tt0120025,nm0112262,Sue Brooks,4.6,Sue Brooks,13.0,1953,0,44
Saamy,Family,2003,tt0376144,nm1419055,Hari,4.7,Hari,17.0,1972,0,31
Craig's Wife,Other,1936,tt0027474,nm0002188,Dorothy Arzner,4.7,Dorothy Arzner,17.0,1897,1979,39
Woman in Hiding,Drama,1950,tt0042052,nm0330456,Michael Gordon,4.6,Michael Gordon,30.0,1909,1993,41
The Screaming Skull,Drama,1958,tt0052169,nm0630132,Alex Nicol,4.0,Alex Nicol,23.0,1916,2001,42
Gemini,Drama,1999,tt0210302,nm0875354,Shin'ya Tsukamoto,4.6,Shin'ya Tsukamoto,29.0,1960,0,39
The Landlord,Drama,1970,tt0065963,nm0000797,Hal Ashby,4.6,Hal Ashby,17.0,1929,1988,41
Golmaal: Fun Unlimited,Family,2006,tt0495034,nm1460159,Rohit Shetty,4.7,Rohit Shetty,20.0,1974,0,32
Anonymous,Drama,2011,tt1521197,nm0000386,Roland Emmerich,4.3,Roland Emmerich,26.0,1955,0,56
Hearts in Atlantis,Drama,2001,tt0252501,nm0382956,Scott Hicks,4.6,Scott Hicks,35.0,1953,0,48
Matador,Drama,1986,tt0091495,nm0000264,Pedro Almodóvar,4.6,Pedro Almodóvar,43.0,1949,0,37
Adventure in Baltimore,Drama,1949,tt0041093,nm0908831,Richard Wallace,4.5,Richard Wallace,60.0,1894,1951,55
Stage Fright,Drama,1950,tt0042994,nm0000033,Alfred Hitchcock,4.7,Alfred Hitchcock,81.0,1899,1980,51
The Crush,Drama,1993,tt0106627,nm0788454,Alan Shapiro,4.6,Alan Shapiro,9.0,1957,0,36
Raat,Drama,1992,tt0266875,nm0890060,Ram Gopal Varma,4.7,Ram Gopal Varma,79.0,1962,0,30
McLintock!,Action/Adventure,1963,tt0057298,nm0572132,Andrew V. McLaglen,4.7,Andrew V. McLaglen,305.0,1920,2014,43
A Story That Begins at the End,Other,2003,tt0364211,nm0619763,Murali Nair,4.8,Murali Nair,9.0,1966,0,37
Amrit,Drama,1986,tt0233206,nm0474839,Mohan Kumar,4.7,Mohan Kumar,14.0,1934,2017,52
The Spider's Web,Other,1938,tt0030779,nm0395023,James W. Horne,4.6,James W. Horne,240.0,1881,1942,57
Barocco,Drama,1976,tt0074184,nm0029242,André Téchiné,4.4,André Téchiné,35.0,1943,0,33
A Pleasant Journey,Other,1923,tt0014363,nm0569697,Robert F. McGowan,4.6,Robert F. McGowan,116.0,1882,1955,41
Taffin,Drama,1988,tt0096211,nm0576283,Francis Megahy,4.4,Francis Megahy,45.0,1935,2020,53
Time Indefinite,Other,1993,tt0108341,nm0568478,Ross McElwee,4.8,Ross McElwee,12.0,1947,0,46
The Unknown Man,Drama,1951,tt0044166,nm0861703,Richard Thorpe,4.5,Richard Thorpe,178.0,1896,1991,55
Dietetic Pink,Other,1978,tt0169764,nm0546184,Sid Marcus,4.3,Sid Marcus,176.0,1904,1985,74
Suspicious River,Drama,2000,tt0219333,nm0832369,Lynne Stopkewich,4.4,Lynne Stopkewich,42.0,1964,0,36
Pas în doi,Other,1985,tt0089778,nm0685625,Dan Pita,4.8,Dan Pita,25.0,1938,0,47
Let's Do It Again,Family,1975,tt0073282,nm0001627,Sidney Poitier,4.6,Sidney Poitier,9.0,1927,2022,48
The House of the Devil,Drama,2009,tt1172994,nm1488800,Ti West,4.5,Ti West,29.0,1980,0,29
Asesinato en el Comité Central,Other,1982,tt0083583,nm0033005,Vicente Aranda,4.2,Vicente Aranda,32.0,1926,2015,56
Angora Love,Other,1929,tt0019640,nm0287931,Lewis R. Foster,4.6,Lewis R. Foster,112.0,1898,1974,31
Roustabout,Family,1964,tt0058534,nm0723664,John Rich,4.4,John Rich,504.0,1925,2012,39
A Moment of Innocence,Drama,1996,tt0117214,nm0538532,Mohsen Makhmalbaf,4.8,Mohsen Makhmalbaf,30.0,1957,0,39
Blast From the Past,Drama,1999,tt0124298,nm0933505,Hugh Wilson,4.7,Hugh Wilson,32.0,1943,2018,56
The Opposite of Sex,Drama,1998,tt0120777,nm0740400,Don Roos,4.4,Don Roos,180.0,1955,0,43
Housefull 2,Family,2012,tt1980986,nm1349318,Sajid Khan,4.3,Sajid Khan,6.0,1970,0,42
Benji,Drama,1974,tt0071206,nm0131995,Joe Camp,4.7,Joe Camp,24.0,1939,0,35
The Legend of Hell House,Horror,1973,tt0070294,nm0396421,John Hough,4.8,John Hough,40.0,1941,0,32
The Spirit of St. Louis,Action/Adventure,1957,tt0051003,nm0000697,Billy Wilder,4.9,Billy Wilder,25.0,1906,2002,51
Premonition,Other,1972,tt0069118,nm0748928,Alan Rudolph,4.1,Alan Rudolph,22.0,1943,0,29
Tokyo Godfathers,Drama,2003,tt0388473,nm0464804,Satoshi Kon,4.8,Satoshi Kon,20.0,1963,2010,40
Unarchigal,Other,1976,tt9244928,nm0757280,R.C. Sakthi,4.9,R.C. Sakthi,19.0,1939,2015,37
Some Girl,Drama,1998,tt0125766,nm0446837,Rory Kelly,4.4,Rory Kelly,10.0,1961,0,37
Mandabi,Drama,1968,tt0063268,nm0783733,Ousmane Sembene,4.7,Ousmane Sembene,12.0,1923,2007,45
Alice Doesn't Live Here Anymore,Drama,1974,tt0071115,nm0000217,Martin Scorsese,5.6,Martin Scorsese,74.0,1942,0,32
Stolen Heaven,Other,1931,tt0022433,nm0007973,George Abbott,4.6,George Abbott,39.0,1887,1995,44
Makalkku,Other,2005,tt0460499,nm0415852,Jayaraj,4.7,Jayaraj,47.0,1960,0,45
Skinning,Action/Adventure,2010,tt1129437,nm1194496,Stevan Filipovic,4.5,Stevan Filipovic,12.0,1981,0,29
The Perfect Man,Family,2005,tt0380623,nm0743093,Mark Rosman,4.5,Mark Rosman,41.0,1959,0,46
Gypped in the Penthouse,Other,1955,tt0048141,nm0925028,Jules White,4.7,Jules White,296.0,1900,1985,55
The Uninvited,Other,1944,tt0037415,nm0020765,Lewis Allen,4.7,Lewis Allen,201.0,1905,2000,39
El Amante Bilingüe,Other,1993,tt0106251,nm0033005,Vicente Aranda,4.2,Vicente Aranda,32.0,1926,2015,67
Déjà Vu,Drama,1997,tt0119033,nm0415617,Henry Jaglom,4.6,Henry Jaglom,21.0,1938,0,59
Night Flight,Other,1933,tt0024381,nm0113284,Clarence Brown,4.5,Clarence Brown,52.0,1890,1987,43
The Gilded Cage,Drama,1955,tt0047023,nm0319241,John Gilling,4.3,John Gilling,66.0,1912,1984,43
Adventure in Manhattan,Drama,1936,tt0027258,nm0524995,Edward Ludwig,4.6,Edward Ludwig,168.0,1899,1982,37
Mix Me a Person,Drama,1962,tt0056243,nm0635554,Leslie Norman,4.5,Leslie Norman,69.0,1911,1993,51
The Invasion,Drama,2007,tt0427392,nm0386570,Oliver Hirschbiegel,3.6,Oliver Hirschbiegel,62.0,1957,0,50
Funny Dirty Little War,Drama,1983,tt0086017,nm0647055,Héctor Olivera,4.7,Héctor Olivera,33.0,1931,0,52
Hollywood Chaos,Action/Adventure,1989,tt0097517,nm0573732,Sean McNamara,3.9,Sean McNamara,174.0,1962,0,27
Rabid,Drama,1977,tt0076590,nm0000343,David Cronenberg,4.5,David Cronenberg,48.0,1943,0,34
Massacre,Other,1934,tt0025479,nm0189076,Alan Crosland,4.6,Alan Crosland,66.0,1894,1936,40
Homer and Eddie,Family,1989,tt0097521,nm0464846,Andrey Konchalovskiy,4.3,Andrey Konchalovskiy,34.0,1937,0,52
Raja,Other,2002,tt0352757,nm1318819,Ezhil,3.9,Ezhil,12.0,1964,0,38
George in Civvy Street,Other,1946,tt0038557,nm0890085,Marcel Varnel,4.6,Marcel Varnel,35.0,1894,1947,52
True Bromance,Other,2011,tt1839425,nm1164262,Sebastian Doggart,4.5,Sebastian Doggart,8.0,1970,0,41
Athadu,Action/Adventure,2005,tt0471571,nm1894520,Trivikram Srinivas,4.9,Trivikram Srinivas,16.0,1971,0,34
S.O.B.,Family,1981,tt0083015,nm0001175,Blake Edwards,4.7,Blake Edwards,75.0,1922,2010,59
The Sugarland Express,Drama,1974,tt0072226,nm0000229,Steven Spielberg,4.8,Steven Spielberg,60.0,1946,0,28
Season,Drama,1989,tt0292226,nm0655802,P. Padmarajan,4.8,P. Padmarajan,18.0,1945,1991,44
I Am Kalam,Other,2010,tt1805263,nm4244515,Nila Madhab Panda,4.9,Nila Madhab Panda,18.0,1973,0,37
The Pigskin Palooka,Other,1937,tt0029403,nm0235066,Gordon Douglas,4.7,Gordon Douglas,95.0,1907,1993,30
New,Family,2004,tt0376003,nm0754184,S.J. Suryah,4.5,S.J. Suryah,11.0,1968,0,36
While the City Sleeps,Other,1928,tt0019571,nm0176699,Jack Conway,4.6,Jack Conway,103.0,1887,1952,41
The Last Lear,Drama,2007,tt1039969,nm0315916,Rituparno Ghosh,4.6,Rituparno Ghosh,21.0,1963,2013,44
The Oklahoman,Other,1957,tt0050797,nm0528927,Francis D. Lyon,4.5,Francis D. Lyon,60.0,1905,1996,52
Swiss Miss,Other,1938,tt0030824,nm0090007,John G. Blystone,4.4,John G. Blystone,110.0,1892,1938,46
The Soloist,Drama,2009,tt0821642,nm0942504,Joe Wright,4.2,Joe Wright,47.0,1972,0,37
Dear Brigitte,Family,1965,tt0059094,nm0467396,Henry Koster,4.7,Henry Koster,49.0,1905,1988,60
Lies,Drama,1999,tt0208995,nm0417541,Jang Sun-woo,4.3,Jang Sun-woo,10.0,1952,0,47
On Ice,Other,1935,tt0026816,nm0789313,Ben Sharpsteen,4.7,Ben Sharpsteen,37.0,1895,1980,40
Of Cash and Hash,Other,1955,tt0048440,nm0925028,Jules White,4.7,Jules White,296.0,1900,1985,55
Shaitan,Other,2011,tt1836912,nm2349060,Bejoy Nambiar,4.7,Bejoy Nambiar,21.0,1979,0,32
Three Sailors and a Girl,Other,1953,tt0046424,nm0215877,Roy Del Ruth,4.4,Roy Del Ruth,125.0,1893,1961,60
The Orphan Killer,Other,2011,tt1179071,nm0267902,Matt Farnsworth,4.0,Matt Farnsworth,5.0,1975,0,36
Last Plane Out,Drama,1983,tt0085823,nm0625287,David Nelson,4.1,David Nelson,20.0,1936,2011,47
Practical Magic,Drama,1998,tt0120791,nm0001162,Griffin Dunne,4.3,Griffin Dunne,13.0,1955,0,43
Not One Less,Drama,1999,tt0209189,nm0955443,Yimou Zhang,4.8,Yimou Zhang,31.0,1951,0,48
Kalidas,Family,1931,tt0258699,nm0714760,H.M. Reddy,4.5,H.M. Reddy,17.0,1892,1960,39
The Home Song Stories,Drama,2007,tt0452631,nm0044016,Tony Ayres,4.7,Tony Ayres,12.0,1961,0,46
Matango,Fiction,1963,tt0057295,nm0393094,Ishirô Honda,4.5,Ishirô Honda,74.0,1911,1993,52
The Fiendish Plot of Dr. Fu Manchu,Drama,1980,tt0080731,nm0353592,Piers Haggard,4.4,Piers Haggard,123.0,1939,2023,41
Ten Canoes,Drama,2006,tt0466399,nm0208854,Rolf de Heer,4.6,Rolf de Heer,20.0,1951,0,55
Submarine,Action/Adventure,1928,tt0019434,nm0929649,Irvin Willat,4.5,Irvin Willat,39.0,1890,1976,38
B*A*P*S,Other,1997,tt0118663,nm0870186,Robert Townsend,4.2,Robert Townsend,93.0,1957,0,40
Tarzan the Fearless,Other,1933,tt0024645,nm0384616,Robert F. Hill,4.2,Robert F. Hill,111.0,1886,1966,47
The Blue Lagoon,Drama,1980,tt0080453,nm0459170,Randal Kleiser,4.6,Randal Kleiser,38.0,1946,0,34
Mehboob Ki Mehndi,Family,1971,tt0266757,nm0712540,Harnam Singh Rawail,4.6,Harnam Singh Rawail,22.0,1921,2004,50
Beloved/Friend,Drama,1999,tt0185154,nm0690532,Ventura Pons,4.6,Ventura Pons,34.0,1945,0,54
Remo Williams: The Adventure Begins,Action/Adventure,1985,tt0089901,nm0357891,Guy Hamilton,4.7,Guy Hamilton,27.0,1922,2016,63
Old Scores,Other,1991,tt0102581,nm0165654,Alan Clayton,4.7,Alan Clayton,17.0,1941,0,50
Gung Ho,Family,1986,tt0091159,nm0000165,Ron Howard,4.7,Ron Howard,52.0,1954,0,32
In the Valley of Elah,Drama,2007,tt0478134,nm0353673,Paul Haggis,4.8,Paul Haggis,31.0,1953,0,54
Chisum,Action/Adventure,1970,tt0065547,nm0572132,Andrew V. McLaglen,4.6,Andrew V. McLaglen,305.0,1920,2014,50
She Couldn't Take It,Other,1935,tt0026984,nm0307819,Tay Garnett,4.5,Tay Garnett,147.0,1894,1977,41
Employee of the Month,Family,2006,tt0424993,nm0177637,Greg Coolidge,4.5,Greg Coolidge,5.0,1972,0,34
Drifting Clouds,Drama,1996,tt0116752,nm0442454,Aki Kaurismäki,4.8,Aki Kaurismäki,26.0,1957,0,39
The Toolbox Murders,Horror,1978,tt0078405,nm0232702,Dennis Donnelly,4.3,Dennis Donnelly,218.0,1942,0,36
Camila,Drama,1984,tt0087027,nm0069833,María Luisa Bemberg,4.6,María Luisa Bemberg,8.0,1922,1995,62
September Storm,Other,1960,tt0054290,nm0005738,Byron Haskin,4.2,Byron Haskin,53.0,1899,1984,61
Go Trabi Go,Other,1991,tt0101960,nm0863633,Peter Timm,4.4,Peter Timm,19.0,1950,0,41
Foxy by Proxy,Other,1952,tt0044632,nm0293989,Friz Freleng,4.7,Friz Freleng,423.0,1904,1995,48
Little Orphan Airedale,Other,1947,tt0039572,nm0005062,Chuck Jones,4.6,Chuck Jones,324.0,1912,2002,35
Micro-Phonies,Other,1945,tt0037911,nm0076618,Edward Bernds,4.9,Edward Bernds,130.0,1905,2000,40
Attack of the Puppet People,Horror,1958,tt0051381,nm0330026,Bert I. Gordon,4.3,Bert I. Gordon,24.0,1922,2023,36
Death of a Gunfighter,Action/Adventure,1969,tt0064217,nm0796923,Don Siegel,4.5,Don Siegel,52.0,1912,1991,57
Flipper,Family,1963,tt0057063,nm0164044,James B. Clark,4.5,James B. Clark,85.0,1908,2000,55
Shiri,Drama,1999,tt0192657,nm0437625,Je-kyu Kang,4.4,Je-kyu Kang,7.0,1962,0,37
Among Giants,Family,1998,tt0122906,nm0589284,Sam Miller,4.4,Sam Miller,103.0,1962,0,36
Dorothy Vernon of Haddon Hall,Other,1924,tt0014854,nm0624714,Marshall Neilan,4.6,Marshall Neilan,102.0,1891,1958,33
Female Prisoner #701: Scorpion,Drama,1972,tt0226872,nm0411746,Shun'ya Itô,4.7,Shun'ya Itô,14.0,1937,0,35
Clay Pigeons,Drama,1998,tt0118863,nm0229694,David Dobkin,4.6,David Dobkin,22.0,1969,0,29
Samson and the 7 Miracles of the World,Action/Adventure,1961,tt0055114,nm0292720,Riccardo Freda,4.2,Riccardo Freda,42.0,1909,1999,52
Garam Masala,Family,2005,tt0453671,nm0698184,Priyadarshan,4.6,Priyadarshan,88.0,1957,0,48
Bells of Rosarita,Other,1945,tt0037535,nm0567757,Frank McDonald,4.5,Frank McDonald,446.0,1899,1980,46
The Gang,Drama,2000,tt0282513,nm0930798,J. Williams,3.8,J. Williams,10.0,1948,2005,52
25 Watts,Drama,2001,tt0280381,nm0831526,Pablo Stoll,4.7,Pablo Stoll,7.0,1974,0,27
The Stranger Wore a Gun,Other,1953,tt0046375,nm0211964,André De Toth,4.4,André De Toth,48.0,1913,2002,40
Mulla,Other,2008,tt1511437,nm0430485,Lal Jose,4.2,Lal Jose,27.0,1966,0,42
Carry On Pickpocket,Action/Adventure,1982,tt0083828,nm0005033,Sammo Kam-Bo Hung,4.6,Sammo Kam-Bo Hung,31.0,1952,0,30
Diksha,Other,1991,tt0246567,nm0442390,Arun Kaul,4.8,Arun Kaul,1.0,1933,2007,58
The Twins,Drama,2005,tt0464760,nm6621485,Heung-sik Park,4.3,Heung-sik Park,5.0,1962,0,43
Alter Kahn und junge Liebe,Other,1957,tt0048941,nm0374475,Hans Heinrich,4.4,Hans Heinrich,107.0,1911,2003,46
Music Box,Drama,1989,tt0100211,nm0002020,Costa-Gavras,4.9,Costa-Gavras,22.0,1933,0,56
Gubra,Other,2006,tt0484355,nm1379108,Yasmin Ahmad,4.7,Yasmin Ahmad,8.0,1958,2009,48
Twin Sitters,Drama,1994,tt0122768,nm0660893,John Paragon,4.4,John Paragon,33.0,1954,2021,40
Unfinished Business,Other,1985,tt0090236,nm0254727,Bob Ellis,4.5,Bob Ellis,5.0,1942,2016,43
Just Heroes,Action/Adventure,1989,tt0094351,nm0000247,John Woo,4.7,John Woo,44.0,1946,0,43
The Housemaid,Drama,1960,tt0150980,nm0453579,Kim Ki-young,4.7,Kim Ki-young,34.0,1919,1998,41
Friends and Neighbours,Other,1959,tt0052826,nm0663653,Gordon Parry,4.2,Gordon Parry,22.0,1908,1981,51
Rosewood,Drama,1997,tt0120036,nm0005436,John Singleton,4.3,John Singleton,19.0,1968,2019,29
Marathon Man,Drama,1976,tt0074860,nm0772259,John Schlesinger,5.0,John Schlesinger,28.0,1926,2003,50
Calendar Girl,Drama,1993,tt0106505,nm0925870,John Whitesell,3.9,John Whitesell,276.0,1953,0,40
Tarzan and the Jungle Boy,Other,1968,tt0063673,nm0330036,Robert Gordon,4.3,Robert Gordon,60.0,1913,1990,55
Men in Black 3,Fiction,2012,tt1409024,nm0001756,Barry Sonnenfeld,4.8,Barry Sonnenfeld,56.0,1953,0,59
Let's Make Love,Family,1960,tt0054022,nm0002030,George Cukor,4.7,George Cukor,53.0,1899,1983,61
Tulsa,Action/Adventure,1949,tt0041994,nm0374702,Stuart Heisler,4.7,Stuart Heisler,94.0,1896,1979,53
Unnai Ninaithu,Drama,2002,tt6358182,nm1417315,Vikraman,4.7,Vikraman,16.0,1966,0,36
Crashout,Other,1955,tt0047958,nm0287931,Lewis R. Foster,4.7,Lewis R. Foster,112.0,1898,1974,57
Every Bastard a King,Other,1968,tt0062947,nm0957612,Uri Zohar,4.6,Uri Zohar,12.0,1935,2022,33
Little Nobody,Other,1936,tt0027895,nm0281487,Dave Fleischer,4.5,Dave Fleischer,592.0,1894,1979,42
The West Point Story,Family,1950,tt0043123,nm0215877,Roy Del Ruth,4.7,Roy Del Ruth,125.0,1893,1961,57
No Way Out,Drama,1950,tt0042792,nm0000581,Joseph L. Mankiewicz,4.7,Joseph L. Mankiewicz,22.0,1909,1993,41
First Monday in October,Drama,1981,tt0082382,nm0623768,Ronald Neame,4.5,Ronald Neame,25.0,1911,2010,70
The Wrath of God,Family,1972,tt0069515,nm0625680,Ralph Nelson,4.4,Ralph Nelson,239.0,1916,1987,56
"Smell of Camphor, Fragrance of Jasmine",Drama,2000,tt0262774,nm0267715,Bahman Farmanara,4.6,Bahman Farmanara,11.0,1941,0,59
The Secret Garden,Drama,1949,tt0041855,nm0928208,Fred M. Wilcox,4.8,Fred M. Wilcox,11.0,1907,1964,42
Minbo,Family,1992,tt0104874,nm0411631,Jûzô Itami,4.7,Jûzô Itami,11.0,1933,1997,59
Escape from Alcatraz,Drama,1979,tt0079116,nm0796923,Don Siegel,5.0,Don Siegel,52.0,1912,1991,67
The Oscar,Other,1966,tt0060801,nm0745866,Russell Rouse,4.3,Russell Rouse,12.0,1913,1987,53
Claire,Drama,2001,tt0368652,nm1387665,Milford Thomas,4.7,Milford Thomas,1.0,1965,0,36
Four Lions,Drama,2010,tt1341167,nm0606439,Christopher Morris,4.7,Christopher Morris,23.0,1965,0,45
Zulu Dawn,Action/Adventure,1979,tt0080180,nm0382779,Douglas Hickox,4.6,Douglas Hickox,32.0,1929,1988,50
King Arthur,Action/Adventure,2004,tt0349683,nm0298807,Antoine Fuqua,1.9,Antoine Fuqua,42.0,1965,0,39
Between Heaven and Hell,Action/Adventure,1956,tt0049004,nm0281507,Richard Fleischer,4.8,Richard Fleischer,61.0,1916,2006,40
The Navigator,Drama,1924,tt0015163,nm0187981,Donald Crisp,4.8,Donald Crisp,72.0,1882,1974,42
Late Night Shopping,Family,2001,tt0250491,nm0582792,Saul Metzstein,4.6,Saul Metzstein,50.0,1970,0,31
A Ticket to Tomahawk,Family,1950,tt0043046,nm0757940,Richard Sale,4.5,Richard Sale,30.0,1911,1993,39
Thodisi Bewafaii,Drama,1980,tt0081624,nm0795430,Esmayeel Shroff,4.4,Esmayeel Shroff,15.0,1957,2022,23
Sirocco,Drama,1951,tt0044040,nm0076779,Curtis Bernhardt,4.7,Curtis Bernhardt,42.0,1899,1981,52
Top Secret Affair,Family,1957,tt0051097,nm0693281,H.C. Potter,4.5,H.C. Potter,20.0,1904,1977,53
American Me,Drama,1992,tt0103671,nm0001579,Edward James Olmos,4.9,Edward James Olmos,11.0,1947,0,45
"Hail, Hero!",Other,1969,tt0064399,nm0588183,David Miller,4.3,David Miller,51.0,1909,1992,60
Talk to Her,Drama,2002,tt0287467,nm0000264,Pedro Almodóvar,5.6,Pedro Almodóvar,43.0,1949,0,53
Edge of Darkness,Drama,2010,tt1226273,nm0132709,Martin Campbell,4.6,Martin Campbell,63.0,1943,0,67
Thumbelina,Family,1994,tt0111419,nm0089940,Don Bluth,4.0,Don Bluth,18.0,1937,0,57
The Limey,Drama,1999,tt0165854,nm0001752,Steven Soderbergh,4.5,Steven Soderbergh,102.0,1963,0,36
The Southern Star,Other,1969,tt0065025,nm0370868,Sidney Hayers,4.3,Sidney Hayers,201.0,1921,2000,48
Discoveries,Other,1939,tt0031233,nm0205317,Redd Davis,4.6,Redd Davis,22.0,1896,0,43
Scrooge McDuck and Money,Other,1967,tt0062240,nm0527217,Hamilton Luske,4.6,Hamilton Luske,53.0,1903,1968,64
Dentist on the Job,Other,1961,tt0054798,nm0005826,C.M. Pennington-Richards,4.3,C.M. Pennington-Richards,105.0,1911,2005,50
Fiction,Other,2006,tt0480680,nm0310747,Cesc Gay,4.6,Cesc Gay,19.0,1967,0,39
Solomon & Gaenor,Drama,1999,tt0181830,nm0607422,Paul Morrison,4.6,Paul Morrison,10.0,1944,0,55
The Thomas Crown Affair,Drama,1999,tt0155267,nm0001532,John McTiernan,4.8,John McTiernan,13.0,1951,0,48
Position among the Stars,Other,2010,tt1742178,nm0720503,Leonard Retel Helmrich,4.9,Leonard Retel Helmrich,7.0,1959,2023,51
Munchie,Fiction,1992,tt0104938,nm0691061,Jim Wynorski,3.9,Jim Wynorski,102.0,1950,0,42
Ayya,Action/Adventure,2005,tt0449828,nm1419055,Hari,4.4,Hari,17.0,1972,0,33
The Awful Tooth,Other,1938,tt0233267,nm0915007,Nate Watt,4.6,Nate Watt,46.0,1889,1968,49
Padre Padrone,Drama,1977,tt0076517,nm0851752,Paolo Taviani,4.7,Paolo Taviani,20.0,1931,0,46
The Capture,Action/Adventure,1950,tt0042313,nm0836328,John Sturges,4.4,John Sturges,41.0,1910,1992,40
Days of Wine and Roses,Drama,1962,tt0055895,nm0001175,Blake Edwards,5.8,Blake Edwards,75.0,1922,2010,40
The Singer and the Dancer,Other,1977,tt0076717,nm0000788,Gillian Armstrong,4.6,Gillian Armstrong,27.0,1950,0,27
Connie and Carla,Family,2004,tt0345074,nm0501185,Michael Lembeck,4.3,Michael Lembeck,388.0,1948,0,56
Sita Sings the Blues,Family,2008,tt1172203,nm1315434,Nina Paley,4.8,Nina Paley,9.0,1968,0,40
Park Benches,Family,2009,tt1156505,nm0687913,Bruno Podalydès,4.4,Bruno Podalydès,17.0,1961,0,48
Gorilla at Large,Drama,1954,tt0047041,nm0428195,Harmon Jones,4.3,Harmon Jones,124.0,1911,1972,43
High and Low,Drama,1963,tt0057565,nm0000041,Akira Kurosawa,4.9,Akira Kurosawa,32.0,1910,1998,53
Sugar Hill,Horror,1974,tt0072225,nm0556487,Paul Maslansky,4.4,Paul Maslansky,1.0,1933,0,41
