IMDb nconst,nconst,name,birthYear,deathYear,category,first_roles,second_roles,third_roles,fourth_roles,total_roles,age
nm0001467,nm0001467,Jared Leto,1971,\N,M,20.0,6.0,5.0,0.0,31.0,52.0
nm0857620,nm0857620,Justin Theroux,1971,\N,M,51.0,36.0,15.0,2.0,104.0,52.0
nm0035514,nm0035514,Richard Armitage,1971,\N,M,84.0,33.0,37.0,6.0,160.0,52.0
nm0082526,nm0082526,Peter Billingsley,1971,\N,M,8.0,5.0,4.0,3.0,20.0,52.0
nm0000276,nm0000276,Sean Astin,1971,\N,M,197.0,95.0,24.0,76.0,392.0,52.0
nm0358200,nm0358200,Victoria Hamilton,1971,\N,F,7.0,15.0,20.0,11.0,53.0,52.0
nm0538443,nm0538443,Heike Makatsch,1971,\N,F,29.0,10.0,8.0,4.0,51.0,52.0
nm0000612,nm0000612,Denise Richards,1971,\N,F,35.0,28.0,22.0,33.0,118.0,52.0
nm0079273,nm0079273,Paul Bettany,1971,\N,M,17.0,29.0,11.0,3.0,60.0,52.0
nm0001794,nm0001794,Henry Thomas,1971,\N,M,25.0,21.0,16.0,16.0,78.0,52.0
nm0097504,nm0097504,Alex Borstein,1971,\N,F,83.0,527.0,22.0,10.0,642.0,52.0
nm0765597,nm0765597,Peter Sarsgaard,1971,\N,M,24.0,20.0,16.0,7.0,67.0,52.0
nm0293509,nm0293509,Martin Freeman,1971,\N,M,85.0,44.0,8.0,32.0,169.0,52.0
nm0001303,nm0001303,Carla Gugino,1971,\N,F,55.0,55.0,13.0,13.0,136.0,52.0
nm0000242,nm0000242,Mark Wahlberg,1971,\N,M,35.0,17.0,3.0,2.0,57.0,52.0
nm0358316,nm0358316,Jon Hamm,1971,\N,M,122.0,60.0,15.0,8.0,205.0,52.0
nm0719637,nm0719637,Jeremy Renner,1971,\N,M,41.0,21.0,2.0,3.0,67.0,52.0
nm0000191,nm0000191,Ewan McGregor,1971,\N,M,70.0,25.0,15.0,6.0,116.0,52.0
nm0324658,nm0324658,Walton Goggins,1971,\N,M,37.0,28.0,72.0,34.0,171.0,52.0
nm0855039,nm0855039,David Tennant,1971,\N,M,231.0,50.0,20.0,15.0,316.0,52.0
nm0005381,nm0005381,Rebecca Romijn,1972,\N,F,54.0,19.0,4.0,18.0,95.0,51.0
nm0004950,nm0004950,Jennifer Garner,1972,\N,F,149.0,31.0,10.0,15.0,205.0,51.0
nm0000179,nm0000179,Jude Law,1972,\N,M,55.0,31.0,12.0,4.0,102.0,51.0
nm0425005,nm0425005,Dwayne Johnson,1972,\N,M,176.0,27.0,16.0,14.0,233.0,51.0
nm0532683,nm0532683,Gabriel Macht,1972,\N,M,140.0,22.0,7.0,5.0,174.0,51.0
nm0005527,nm0005527,Sofía Vergara,1972,\N,F,10.0,276.0,6.0,1.0,293.0,51.0
nm0005182,nm0005182,Leslie Mann,1972,\N,F,2.0,5.0,7.0,4.0,18.0,51.0
nm0004757,nm0004757,Selma Blair,1972,\N,F,32.0,82.0,14.0,6.0,134.0,51.0
nm0004748,nm0004748,Julie Benz,1972,\N,F,16.0,115.0,13.0,8.0,152.0,51.0
nm0000255,nm0000255,Ben Affleck,1972,\N,M,46.0,9.0,5.0,1.0,61.0,51.0
nm0000139,nm0000139,Cameron Diaz,1972,\N,F,12.0,16.0,13.0,2.0,43.0,51.0
nm0881631,nm0881631,Karl Urban,1972,\N,M,52.0,8.0,6.0,5.0,71.0,51.0
nm0252961,nm0252961,Idris Elba,1972,\N,M,55.0,19.0,47.0,23.0,144.0,51.0
nm0446465,nm0446465,Jean Louisa Kelly,1972,\N,F,16.0,107.0,10.0,14.0,147.0,51.0
nm0511088,nm0511088,Andrew Lincoln,1973,\N,M,147.0,21.0,22.0,21.0,211.0,50.0
nm0267812,nm0267812,Vera Farmiga,1973,\N,F,73.0,27.0,27.0,19.0,146.0,50.0
nm0000496,nm0000496,Juliette Lewis,1973,\N,F,20.0,18.0,30.0,41.0,109.0,50.0
nm0004395,nm0004395,Adam Scott,1973,\N,M,61.0,5.0,11.0,18.0,95.0,50.0
nm0004753,nm0004753,Leslie Bibb,1973,\N,F,78.0,13.0,21.0,17.0,129.0,50.0
nm0532235,nm0532235,Seth MacFarlane,1973,\N,M,809.0,7.0,19.0,12.0,847.0,50.0
nm0002436,nm0002436,Shannon Elizabeth,1973,\N,F,35.0,7.0,6.0,4.0,52.0,50.0
nm1063517,nm1063517,Kathryn Hahn,1973,\N,F,17.0,29.0,23.0,93.0,162.0,50.0
nm0372176,nm0372176,Lena Headey,1973,\N,F,53.0,47.0,55.0,13.0,168.0,50.0
nm0000295,nm0000295,Kate Beckinsale,1973,\N,F,41.0,12.0,9.0,4.0,66.0,50.0
nm0737533,nm0737533,Elisabeth Röhm,1973,\N,F,15.0,13.0,8.0,14.0,50.0,50.0
nm0006663,nm0006663,Enrique Murciano,1973,\N,M,2.0,11.0,2.0,162.0,177.0,50.0
nm0004778,nm0004778,Adrien Brody,1973,\N,M,41.0,12.0,19.0,13.0,85.0,50.0
nm1325419,nm1325419,Kristen Wiig,1973,\N,F,44.0,41.0,18.0,10.0,113.0,50.0
nm0578949,nm0578949,Eva Mendes,1974,\N,F,5.0,7.0,10.0,2.0,24.0,49.0
nm0249291,nm0249291,Joel Edgerton,1974,\N,M,20.0,23.0,18.0,5.0,66.0,49.0
nm0004851,nm0004851,Penélope Cruz,1974,\N,F,29.0,22.0,6.0,9.0,66.0,49.0
nm0278979,nm0278979,Jenna Fischer,1974,\N,F,30.0,3.0,56.0,147.0,236.0,49.0
nm0000288,nm0000288,Christian Bale,1974,\N,M,29.0,9.0,9.0,3.0,50.0,49.0
nm1469236,nm1469236,Olivia Colman,1974,\N,F,52.0,52.0,83.0,58.0,245.0,49.0
nm2126366,nm2126366,Paul Greene,1974,\N,M,1.0,19.0,0.0,15.0,35.0,49.0
nm0880811,nm0880811,Cristina Umaña,1974,\N,F,255.0,99.0,327.0,71.0,752.0,49.0
nm0788335,nm0788335,Michael Shannon,1974,\N,M,29.0,22.0,47.0,31.0,129.0,49.0
nm0010736,nm0010736,Amy Adams,1974,\N,F,30.0,8.0,7.0,7.0,52.0,49.0
nm0006969,nm0006969,Elizabeth Banks,1974,\N,F,41.0,23.0,12.0,12.0,88.0,49.0
nm0000138,nm0000138,Leonardo DiCaprio,1974,\N,M,37.0,5.0,2.0,3.0,47.0,49.0
nm0677826,nm0677826,Ian Petrella,1974,\N,M,0.0,0.0,1.0,0.0,1.0,49.0
nm1055302,nm1055302,Rhys Darby,1974,\N,M,32.0,108.0,47.0,7.0,194.0,49.0
nm0005299,nm0005299,Sarah Paulson,1974,\N,F,91.0,37.0,35.0,24.0,187.0,49.0
nm1065454,nm1065454,Tricia Helfer,1974,\N,F,20.0,9.0,5.0,28.0,62.0,49.0
nm0001618,nm0001618,Joaquin Phoenix,1974,\N,M,25.0,9.0,7.0,4.0,45.0,49.0
nm0134224,nm0134224,Kay Cannon,1974,\N,F,1.0,1.0,0.0,1.0,3.0,49.0
nm1318596,nm1318596,Jemaine Clement,1974,\N,M,64.0,48.0,14.0,10.0,136.0,49.0
nm0587431,nm0587431,Ivana Milicevic,1974,\N,F,3.0,43.0,9.0,9.0,64.0,49.0
nm0005211,nm0005211,Danica McKellar,1975,\N,F,37.0,24.0,6.0,13.0,80.0,48.0
nm4745222,nm4745222,Keala Settle,1975,\N,F,0.0,0.0,1.0,1.0,2.0,48.0
nm0004825,nm0004825,Emmanuelle Chriqui,1975,\N,F,19.0,22.0,29.0,16.0,86.0,48.0
nm0000701,nm0000701,Kate Winslet,1975,\N,F,43.0,19.0,5.0,6.0,73.0,48.0
nm0954036,nm0954036,Natalie Zea,1975,\N,F,27.0,61.0,3.0,25.0,116.0,48.0
nm2121656,nm2121656,Pleasant Wayne,1975,\N,F,0.0,2.0,1.0,0.0,3.0,48.0
nm0763928,nm0763928,Rodrigo Santoro,1975,\N,M,42.0,65.0,12.0,292.0,411.0,48.0
nm0004802,nm0004802,Linda Cardellini,1975,\N,F,63.0,54.0,80.0,31.0,228.0,48.0
nm0177896,nm0177896,Bradley Cooper,1975,\N,M,29.0,16.0,15.0,50.0,110.0,48.0
nm0301959,nm0301959,Johnny Galecki,1975,\N,M,283.0,5.0,2.0,17.0,307.0,48.0
nm0169806,nm0169806,Taika Waititi,1975,\N,M,2.0,11.0,10.0,6.0,29.0,48.0
nm0801051,nm0801051,Jimmi Simpson,1975,\N,M,3.0,14.0,24.0,13.0,54.0,48.0
nm0000170,nm0000170,Milla Jovovich,1975,\N,F,23.0,11.0,4.0,1.0,39.0,48.0
nm1092086,nm1092086,David Harbour,1975,\N,M,10.0,52.0,7.0,11.0,80.0,48.0
nm0001267,nm0001267,Balthazar Getty,1975,\N,M,7.0,4.0,21.0,12.0,44.0,48.0
nm0347149,nm0347149,Sienna Guillory,1975,\N,F,9.0,22.0,11.0,13.0,55.0,48.0
nm0050959,nm0050959,Pedro Pascal,1975,\N,M,57.0,8.0,27.0,5.0,97.0,48.0
nm0182839,nm0182839,Marion Cotillard,1975,\N,F,35.0,29.0,4.0,8.0,76.0,48.0
nm0005346,nm0005346,Tara Reid,1975,\N,F,34.0,22.0,5.0,5.0,66.0,48.0
nm1745736,nm1745736,Paula Patton,1975,\N,F,24.0,10.0,6.0,2.0,42.0,48.0
nm0000106,nm0000106,Drew Barrymore,1975,\N,F,52.0,27.0,2.0,5.0,86.0,48.0
nm0339460,nm0339460,Judy Greer,1975,\N,F,60.0,134.0,134.0,42.0,370.0,48.0
nm0714147,nm0714147,Elizabeth Reaser,1975,\N,F,14.0,2.0,16.0,18.0,50.0,48.0
nm0001860,nm0001860,Alicia Witt,1975,\N,F,23.0,17.0,50.0,26.0,116.0,48.0
nm0000234,nm0000234,Charlize Theron,1975,\N,F,21.0,16.0,10.0,6.0,53.0,48.0
nm0376716,nm0376716,Christina Hendricks,1975,\N,F,53.0,18.0,4.0,30.0,105.0,48.0
nm0001401,nm0001401,Angelina Jolie,1975,\N,F,23.0,17.0,7.0,6.0,53.0,48.0
nm0005442,nm0005442,Amy Smart,1976,\N,F,10.0,18.0,18.0,3.0,49.0,47.0
nm0268199,nm0268199,Colin Farrell,1976,\N,M,49.0,12.0,4.0,6.0,71.0,47.0
nm0656335,nm0656335,Sam Page,1976,\N,M,8.0,12.0,17.0,40.0,77.0,47.0
nm0005194,nm0005194,Danny Masterson,1976,\N,M,34.0,76.0,6.0,193.0,309.0,47.0
nm0614165,nm0614165,Cillian Murphy,1976,\N,M,54.0,13.0,8.0,6.0,81.0,47.0
nm0279545,nm0279545,Isla Fisher,1976,\N,F,19.0,6.0,6.0,3.0,34.0,47.0
nm1256532,nm1256532,Jon Bernthal,1976,\N,M,54.0,56.0,11.0,23.0,144.0,47.0
nm1208167,nm1208167,Diane Kruger,1976,\N,F,52.0,18.0,7.0,5.0,82.0,47.0
nm0009918,nm0009918,Amy Acker,1976,\N,F,17.0,36.0,71.0,55.0,179.0,47.0
nm1020089,nm1020089,Sally Hawkins,1976,\N,F,14.0,12.0,5.0,12.0,43.0,47.0
nm0403652,nm0403652,Ryan Hurst,1976,\N,M,2.0,10.0,28.0,30.0,70.0,47.0
nm0000224,nm0000224,Alicia Silverstone,1976,\N,F,98.0,12.0,11.0,3.0,124.0,47.0
nm0531808,nm0531808,Kelly Macdonald,1976,\N,F,11.0,52.0,35.0,7.0,105.0,47.0
nm0149950,nm0149950,Sarah Chalke,1976,\N,F,56.0,240.0,9.0,67.0,372.0,47.0
nm0005351,nm0005351,Ryan Reynolds,1976,\N,M,70.0,117.0,9.0,3.0,199.0,47.0
nm0002907,nm0002907,Alexander Skarsgård,1976,\N,M,25.0,11.0,5.0,18.0,59.0,47.0
nm0542133,nm0542133,Joe Manganiello,1976,\N,M,3.0,5.0,3.0,6.0,17.0,47.0
nm0567356,nm0567356,Martine McCutcheon,1976,\N,F,7.0,20.0,4.0,2.0,33.0,47.0
nm1212722,nm1212722,Benedict Cumberbatch,1976,\N,M,94.0,20.0,7.0,5.0,126.0,47.0
nm0429069,nm0429069,Rashida Jones,1976,\N,F,55.0,118.0,24.0,11.0,208.0,47.0
nm0267506,nm0267506,Anna Faris,1976,\N,F,168.0,13.0,8.0,3.0,192.0,47.0
nm0941777,nm0941777,Sam Worthington,1976,\N,M,29.0,27.0,5.0,5.0,66.0,47.0
nm0000702,nm0000702,Reese Witherspoon,1976,\N,F,54.0,41.0,7.0,4.0,106.0,47.0
nm0121026,nm0121026,Candace Cameron Bure,1976,\N,F,116.0,5.0,4.0,108.0,233.0,47.0
nm1157358,nm1157358,Michelle Monaghan,1976,\N,F,27.0,50.0,12.0,3.0,92.0,47.0
nm0595485,nm0595485,Kate Moennig,1977,\N,F,1.0,44.0,6.0,17.0,68.0,46.0
nm0004988,nm0004988,Colin Hanks,1977,\N,M,229.0,38.0,19.0,10.0,296.0,46.0
nm0700577,nm0700577,Lucy Punch,1977,\N,F,4.0,23.0,30.0,7.0,64.0,46.0
nm0000239,nm0000239,Liv Tyler,1977,\N,F,3.0,23.0,6.0,24.0,56.0,46.0
nm0893257,nm0893257,Milo Ventimiglia,1977,\N,M,139.0,12.0,20.0,6.0,177.0,46.0
nm1055413,nm1055413,Michael Fassbender,1977,\N,M,31.0,11.0,15.0,3.0,60.0,46.0
nm0054697,nm0054697,Ike Barinholtz,1977,\N,M,122.0,7.0,49.0,118.0,296.0,46.0
nm1567113,nm1567113,Jessica Chastain,1977,\N,F,34.0,15.0,3.0,5.0,57.0,46.0
nm0001667,nm0001667,Jonathan Rhys Meyers,1977,\N,M,68.0,15.0,10.0,5.0,98.0,46.0
nm0093589,nm0093589,Matt Bomer,1977,\N,M,116.0,12.0,3.0,16.0,147.0,46.0
nm1078479,nm1078479,John Cena,1977,\N,M,51.0,14.0,29.0,38.0,132.0,46.0
nm0935395,nm0935395,Katheryn Winnick,1977,\N,F,81.0,49.0,6.0,2.0,138.0,46.0
nm0005326,nm0005326,Jaime Pressly,1977,\N,F,29.0,7.0,141.0,106.0,283.0,46.0
nm1183149,nm1183149,Edgar Ramírez,1977,\N,M,36.0,13.0,11.0,2.0,62.0,46.0
nm0362766,nm0362766,Tom Hardy,1977,\N,M,38.0,8.0,7.0,11.0,64.0,46.0
nm0656215,nm0656215,Joanna Page,1977,\N,F,14.0,21.0,0.0,18.0,53.0,46.0
nm0711864,nm0711864,Devin Ratray,1977,\N,M,1.0,2.0,2.0,7.0,12.0,46.0
nm1089685,nm1089685,Vanessa Ferlito,1977,\N,F,2.0,33.0,117.0,29.0,181.0,46.0
nm1058940,nm1058940,Scoot McNairy,1977,\N,M,19.0,57.0,15.0,19.0,110.0,46.0
nm0992538,nm0992538,Steve Howey,1977,\N,M,18.0,14.0,5.0,83.0,120.0,46.0
nm0324462,nm0324462,Angela Goethals,1977,\N,F,2.0,41.0,1.0,4.0,48.0,46.0
nm0089217,nm0089217,Orlando Bloom,1977,\N,M,41.0,9.0,6.0,6.0,62.0,46.0
nm0717709,nm0717709,Kelly Reilly,1977,\N,F,27.0,17.0,52.0,16.0,112.0,46.0
nm1211488,nm1211488,Lynn Collins,1977,\N,F,9.0,8.0,8.0,6.0,31.0,46.0
nm0328828,nm0328828,Matthew Goode,1978,\N,M,28.0,27.0,14.0,4.0,73.0,45.0
nm0802995,nm0802995,Greg Sestero,1978,\N,M,7.0,4.0,3.0,2.0,16.0,45.0
nm1136435,nm1136435,Courtney Henggeler,1978,\N,F,0.0,3.0,53.0,1.0,57.0,45.0
nm0256121,nm0256121,Ethan Embry,1978,\N,M,30.0,29.0,7.0,26.0,92.0,45.0
nm0004786,nm0004786,Brooke Burns,1978,\N,F,12.0,51.0,9.0,3.0,75.0,45.0
nm0379596,nm0379596,Jay Hernandez,1978,\N,M,108.0,18.0,5.0,3.0,134.0,45.0
nm3729225,nm3729225,Gwendoline Christie,1978,\N,F,2.0,13.0,4.0,2.0,21.0,45.0
nm0628120,nm0628120,Jaime Ray Newman,1978,\N,F,3.0,8.0,4.0,19.0,34.0,45.0
nm1046097,nm1046097,Rachel McAdams,1978,\N,F,6.0,23.0,10.0,9.0,48.0,45.0
nm0015196,nm0015196,Malin Akerman,1978,\N,F,93.0,30.0,8.0,41.0,172.0,45.0
nm0005535,nm0005535,Estella Warren,1978,\N,F,6.0,16.0,5.0,2.0,29.0,45.0
nm0329481,nm0329481,Ginnifer Goodwin,1978,\N,F,145.0,23.0,5.0,60.0,233.0,45.0
nm0005017,nm0005017,Katie Holmes,1978,\N,F,17.0,122.0,12.0,16.0,167.0,45.0
nm0005064,nm0005064,January Jones,1978,\N,F,2.0,14.0,5.0,99.0,120.0,45.0
nm0004356,nm0004356,Lisa Jakub,1978,\N,F,0.0,4.0,3.0,6.0,13.0,45.0
nm0005110,nm0005110,Ashton Kutcher,1978,\N,M,174.0,11.0,183.0,3.0,371.0,45.0
nm0001337,nm0001337,Katherine Heigl,1978,\N,F,68.0,9.0,186.0,5.0,268.0,45.0
nm0472710,nm0472710,David Krumholtz,1978,\N,M,18.0,136.0,26.0,29.0,209.0,45.0
nm1032567,nm1032567,Pablo Schreiber,1978,\N,M,14.0,10.0,20.0,29.0,73.0,45.0
nm0314514,nm0314514,Lauren German,1978,\N,F,2.0,104.0,2.0,50.0,158.0,45.0
nm2167957,nm2167957,Paul Anderson,1978,\N,M,4.0,3.0,22.0,7.0,36.0,45.0
nm0290556,nm0290556,James Franco,1978,\N,M,91.0,20.0,32.0,7.0,150.0,45.0
nm0117709,nm0117709,Daniel Brühl,1978,\N,M,45.0,15.0,18.0,6.0,84.0,45.0
nm0757855,nm0757855,Zoe Saldana,1978,\N,F,40.0,15.0,11.0,5.0,71.0,45.0
nm1065664,nm1065664,Stana Katic,1978,\N,F,34.0,180.0,3.0,1.0,218.0,45.0
nm1652433,nm1652433,Michael Zegen,1979,\N,M,0.0,1.0,46.0,1.0,48.0,44.0
nm0126284,nm0126284,Rose Byrne,1979,\N,F,51.0,88.0,12.0,7.0,158.0,44.0
nm1195855,nm1195855,Lee Pace,1979,\N,M,69.0,21.0,2.0,14.0,106.0,44.0
nm0666739,nm0666739,Aaron Paul,1979,\N,M,50.0,5.0,67.0,6.0,128.0,44.0
nm0206257,nm0206257,Rosario Dawson,1979,\N,F,65.0,22.0,26.0,12.0,125.0,44.0
nm0366389,nm0366389,Kevin Hart,1979,\N,M,60.0,11.0,14.0,5.0,90.0,44.0
nm1024677,nm1024677,John Krasinski,1979,\N,M,35.0,56.0,148.0,7.0,246.0,44.0
nm0454809,nm0454809,Jaime King,1979,\N,F,30.0,86.0,16.0,16.0,148.0,44.0
nm1209966,nm1209966,Oscar Isaac,1979,\N,M,33.0,13.0,10.0,6.0,62.0,44.0
nm1172478,nm1172478,Joel Kinnaman,1979,\N,M,51.0,34.0,43.0,18.0,146.0,44.0
nm0004705,nm0004705,Summer Altice,1979,\N,F,3.0,13.0,1.0,1.0,18.0,44.0
nm0001349,nm0001349,Jennifer Love Hewitt,1979,\N,F,164.0,13.0,87.0,15.0,279.0,44.0
nm1812656,nm1812656,Luke Evans,1979,\N,M,15.0,54.0,7.0,12.0,88.0,44.0
nm0636426,nm0636426,Noomi Rapace,1979,\N,F,27.0,17.0,10.0,12.0,66.0,44.0
nm1358539,nm1358539,Jennifer Carpenter,1979,\N,F,25.0,81.0,49.0,1.0,156.0,44.0
nm1431940,nm1431940,Evangeline Lilly,1979,\N,F,1.0,9.0,4.0,1.0,15.0,44.0
nm1128572,nm1128572,Lake Bell,1979,\N,F,56.0,103.0,29.0,28.0,216.0,44.0
nm0564215,nm0564215,James McAvoy,1979,\N,M,34.0,14.0,19.0,1.0,68.0,44.0
nm1072555,nm1072555,Morena Baccarin,1979,\N,F,31.0,18.0,31.0,102.0,182.0,44.0
nm5077137,nm5077137,Emily V. Gordon,1979,\N,F,0.0,2.0,1.0,0.0,3.0,44.0
nm0695435,nm0695435,Chris Pratt,1979,\N,M,33.0,11.0,6.0,8.0,58.0,44.0
nm0683253,nm0683253,Rosamund Pike,1979,\N,F,41.0,19.0,21.0,14.0,95.0,44.0
nm2186865,nm2186865,Hong Chau,1979,\N,F,14.0,11.0,4.0,6.0,35.0,44.0
nm0005028,nm0005028,Kate Hudson,1979,\N,F,11.0,12.0,7.0,3.0,33.0,44.0
nm0000337,nm0000337,Rachael Leigh Cook,1979,\N,F,35.0,54.0,20.0,7.0,116.0,44.0
nm1787887,nm1787887,Veronica Ngo,1979,\N,F,4.0,4.0,2.0,1.0,11.0,44.0
nm1379938,nm1379938,Travis Fimmel,1979,\N,M,67.0,17.0,3.0,3.0,90.0,44.0
nm0000132,nm0000132,Claire Danes,1979,\N,F,110.0,27.0,26.0,5.0,168.0,44.0
nm0702572,nm0702572,Maggie Q,1979,\N,F,80.0,24.0,15.0,2.0,121.0,44.0
nm0607185,nm0607185,Jennifer Morrison,1979,\N,F,7.0,144.0,3.0,7.0,161.0,44.0
nm0534975,nm0534975,Holly Madison,1979,\N,F,1.0,0.0,0.0,0.0,1.0,44.0
nm1396022,nm1396022,Anna Torv,1979,\N,F,130.0,1.0,4.0,2.0,137.0,44.0
nm0526019,nm0526019,Diego Luna,1979,\N,M,41.0,48.0,7.0,1.0,97.0,44.0
nm0597388,nm0597388,Jason Momoa,1979,\N,M,69.0,17.0,25.0,58.0,169.0,44.0
nm0629697,nm0629697,Rachel Nichols,1980,\N,F,62.0,7.0,3.0,0.0,72.0,43.0
nm1851981,nm1851981,Melissa Rauch,1980,\N,F,19.0,2.0,2.0,4.0,27.0,43.0
nm0490477,nm0490477,Ellen Latzen,1980,\N,F,0.0,0.0,0.0,3.0,3.0,43.0
nm0350453,nm0350453,Jake Gyllenhaal,1980,\N,M,46.0,11.0,4.0,2.0,63.0,43.0
nm0000207,nm0000207,Christina Ricci,1980,\N,F,58.0,11.0,7.0,3.0,79.0,43.0
nm0924210,nm0924210,Ben Whishaw,1980,\N,M,39.0,12.0,4.0,13.0,68.0,43.0
nm2884388,nm2884388,Chris Sullivan,1980,\N,M,0.0,2.0,5.0,2.0,9.0,43.0
nm1157048,nm1157048,Zachary Levi,1980,\N,M,160.0,38.0,8.0,77.0,283.0,43.0
nm0402271,nm0402271,Charlie Hunnam,1980,\N,M,118.0,3.0,21.0,1.0,143.0,43.0
nm1517976,nm1517976,Chris Pine,1980,\N,M,26.0,14.0,7.0,2.0,49.0,43.0
nm1200692,nm1200692,Eva Green,1980,\N,F,10.0,21.0,29.0,2.0,62.0,43.0
nm0000346,nm0000346,Macaulay Culkin,1980,\N,M,14.0,7.0,6.0,2.0,29.0,43.0
nm0001043,nm0001043,Anna Chlumsky,1980,\N,F,13.0,73.0,10.0,1.0,97.0,43.0
nm0755267,nm0755267,Katee Sackhoff,1980,\N,F,31.0,78.0,83.0,21.0,213.0,43.0
nm1382799,nm1382799,Juliette Danielle,1980,\N,F,3.0,3.0,4.0,0.0,10.0,43.0
nm1307435,nm1307435,Alex Hassell,1980,\N,M,1.0,4.0,3.0,3.0,11.0,43.0
nm0244630,nm0244630,Eliza Dushku,1980,\N,F,61.0,12.0,10.0,13.0,96.0,43.0
nm0068338,nm0068338,Kristen Bell,1980,\N,F,204.0,87.0,25.0,5.0,321.0,43.0
nm0931329,nm0931329,Michelle Williams,1980,\N,F,14.0,34.0,121.0,3.0,172.0,43.0
nm0696059,nm0696059,Laura Prepon,1980,\N,F,16.0,34.0,23.0,0.0,73.0,43.0
nm0331516,nm0331516,Ryan Gosling,1980,\N,M,52.0,12.0,15.0,19.0,98.0,43.0
nm1763049,nm1763049,April Bowlby,1980,\N,F,4.0,44.0,1.0,1.0,50.0,43.0
nm2313103,nm2313103,Rebel Wilson,1980,\N,F,35.0,6.0,3.0,1.0,45.0,43.0
nm2239702,nm2239702,Katherine Waterston,1980,\N,F,6.0,15.0,6.0,5.0,32.0,43.0
nm0803890,nm0803890,Gustaf Skarsgård,1980,\N,M,14.0,23.0,32.0,19.0,88.0,43.0
nm1537825,nm1537825,Sam Heughan,1980,\N,M,9.0,86.0,6.0,2.0,103.0,43.0
nm0221046,nm0221046,Zooey Deschanel,1980,\N,F,158.0,12.0,7.0,7.0,184.0,43.0
nm0923266,nm0923266,Merritt Wever,1980,\N,F,9.0,38.0,53.0,7.0,107.0,43.0
nm1475594,nm1475594,Channing Tatum,1980,\N,M,34.0,9.0,2.0,2.0,47.0,43.0
nm1601397,nm1601397,Olivia Munn,1980,\N,F,45.0,13.0,8.0,3.0,69.0,43.0
nm0330687,nm0330687,Joseph Gordon-Levitt,1981,\N,M,41.0,17.0,12.0,150.0,220.0,42.0
nm1890784,nm1890784,Michelle Dockery,1981,\N,F,26.0,23.0,7.0,6.0,62.0,42.0
nm3891176,nm3891176,Thomas Beaudoin,1981,\N,M,11.0,5.0,4.0,8.0,28.0,42.0
nm4689420,nm4689420,Carrie Coon,1981,\N,F,11.0,24.0,1.0,0.0,36.0,42.0
nm0817844,nm0817844,Abigail Spencer,1981,\N,F,60.0,36.0,2.0,5.0,103.0,42.0
nm1265802,nm1265802,Josh Gad,1981,\N,M,87.0,68.0,47.0,41.0,243.0,42.0
nm0397171,nm0397171,Bryce Dallas Howard,1981,\N,F,10.0,6.0,3.0,7.0,26.0,42.0
nm1602660,nm1602660,Ben Barnes,1981,\N,M,14.0,22.0,15.0,0.0,51.0,42.0
nm1685408,nm1685408,Dawn Olivieri,1981,\N,F,10.0,7.0,3.0,8.0,28.0,42.0
nm0001795,nm0001795,Jonathan Taylor Thomas,1981,\N,M,10.0,3.0,11.0,76.0,100.0,42.0
nm0262635,nm0262635,Chris Evans,1981,\N,M,30.0,15.0,7.0,13.0,65.0,42.0
nm2018237,nm2018237,Taylor Kitsch,1981,\N,M,14.0,10.0,37.0,2.0,63.0,42.0
nm2933542,nm2933542,Boyd Holbrook,1981,\N,M,23.0,33.0,3.0,3.0,62.0,42.0
nm1764351,nm1764351,Nicky Whelan,1981,\N,F,13.0,28.0,12.0,2.0,55.0,42.0
nm1089991,nm1089991,Tom Hiddleston,1981,\N,M,22.0,16.0,8.0,3.0,49.0,42.0
nm0159789,nm0159789,Hayden Christensen,1981,\N,M,11.0,5.0,10.0,2.0,28.0,42.0
nm0120410,nm0120410,Laura Bell Bundy,1981,\N,F,8.0,2.0,49.0,13.0,72.0,42.0
nm1392388,nm1392388,Elodie Yung,1981,\N,F,51.0,2.0,2.0,3.0,58.0,42.0
nm0000204,nm0000204,Natalie Portman,1981,\N,F,27.0,14.0,10.0,1.0,52.0,42.0
nm0088127,nm0088127,Alexis Bledel,1981,\N,F,6.0,169.0,4.0,19.0,198.0,42.0
nm1092227,nm1092227,Sienna Miller,1981,\N,F,15.0,29.0,8.0,5.0,57.0,42.0
nm2554352,nm2554352,T.J. Miller,1981,\N,M,7.0,59.0,17.0,95.0,178.0,42.0
nm0636942,nm0636942,Bojana Novakovic,1981,\N,F,8.0,35.0,23.0,7.0,73.0,42.0
nm0005466,nm0005466,Julia Stiles,1981,\N,F,65.0,30.0,11.0,6.0,112.0,42.0
nm0004695,nm0004695,Jessica Alba,1981,\N,F,86.0,17.0,15.0,30.0,148.0,42.0
nm1194672,nm1194672,Julie Gonzalo,1981,\N,F,9.0,2.0,4.0,43.0,58.0,42.0
nm1340697,nm1340697,Moneca Delain,1981,\N,F,0.0,0.0,2.0,1.0,3.0,42.0
nm0211087,nm0211087,Emilie de Ravin,1981,\N,F,5.0,23.0,48.0,35.0,111.0,42.0
nm0022609,nm0022609,Hanna Alström,1981,\N,F,32.0,28.0,1.0,0.0,61.0,42.0
nm1620783,nm1620783,Meghan Markle,1981,\N,F,5.0,6.0,3.0,108.0,122.0,42.0
nm2255288,nm2255288,Eliza Coupe,1981,\N,F,90.0,38.0,22.0,8.0,158.0,42.0
